category,pasha_symbol,name,eq_ref,value_or_form,units,our_mapping,notes
parameter,N_particles,sensitivity bed size,sec4/Table4,3400,count,(N=3400 die compaction),Die 12mm dia, bed ~36mm, mean 1mm normal PSD, rho=1000, strain rate 0.28/s, mu=0.25.
equation,eq4,JKR elastic pull-off (point B),eq4,f_ce = -(3/2)*pi*R*Gamma,N,SE-SE adhesion JKR force,Point B (elastic pull-off). Jump-in f_0 = 8/9*f_ce; break at 5/9*f_ce.
equation,eq5,elastic loading branch (BC),eq5,f = k_e*alpha + (8/9)*f_ce,N,elastic loading (Hertz-linear analog),alpha<alpha_y. Reversible (unload same line). Below B drops with -k_e to alpha_fe (force 5/9 f_ce).
equation,eq6,plastic loading branch (CD),eq6,f = k_p*(alpha - alpha_0p),N,plastic loading (our hooke ~linear),alpha>=alpha_y. Plastic deformation; k_p slope. = our contact plasticity branch (no pressure cap).
equation,eq7,elastic unloading from D (DE),eq7,f = k_e*(alpha - alpha_p),N,elastic unload to permanent overlap,alpha_p = unload force-zero overlap = PERMANENT plastic overlap = our epsilon_sphere displaced material.
equation,eq8,adhesive branch beyond pull-off (EF),eq8,f = -k_e*(alpha - 2*alpha_cp + alpha_p),N,adhesive tensile branch,Below alpha_p to pull-off f_cp (point E); break at 5/9 f_cp. Re-establish at alpha_c0 with 8/9 f_cp.
equation,eq9,plastic flattening deformation,eq9,alpha_pd = alpha_p - alpha_y,m,plastic overlap (post-yield),Pure plastic overlap after yield onset; drives load-dependent pull-off.
equation,eq10,work of adhesion (plastic area),eq10,|W_ad| = A_p*Gamma = pi*Gamma*(2*R*alpha_pd - alpha_pd^2),J,Stage-E plastic contact-area x surface energy,ENERGY-CONSISTENT coupling: pull-off from plastic flattened area A_p times Gamma. = our Stage-E area used for adhesion instead of transport.
equation,eq11,work of adhesion (unloading area),eq11,|W_ad| = (137/162)*f_cp^2/k_e,J,(unloading-curve area = W_ad),Same adhesion work as area under unloading response (Appendix I, eq28-37). Equate with eq10.
equation,eq12,load-dependent pull-off force,eq12,f_cp = -sqrt((162/137)*pi*Gamma*R*k_e*(2 - alpha_pd/R*)),N,SE-SE load-dependent pull-off,Pull-off grows with plastic deformation alpha_pd (eq10=eq11). Fig4 curve. Nonlinear; linearized in eq18.
equation,eq13,impact energy balance,eq13,(1/2)m*v_i^2 = W_p + W_e + W_y - |W_lc|,J,(impact dynamics - not our compaction),Plastic + elastic-compressive + pre-yield-elastic - initial-cohesive-loading work.
equation,eq14,critical sticking velocity,eq14,W_e = |W_ad| -> v_i = v_s,m/s,(stick/bounce boundary),Elastic strain energy = adhesion work -> contact does NOT break (max sticking impact velocity).
equation,eq16,rebound velocity,eq16,v_r = (f_max*(alpha_max-alpha_p)/m - (137/81)*f_cp^2/(m*k_e))^0.5,m/s,(rebound - not our compaction),Used with eq17 (v_i) to get e=v_r/v_i.
equation,eq18,linearized pull-off locus,eq18,f_cp = -k_cp*alpha_cp + f_0p,N,adhesionStiffness (linear-coefficient adhesion),2-PARAMETER linear fit of eq12 (only for deformation > 6% of particle radius, Fig9). = justification of our linear-coefficient cohesion.
equation,eq19,simplest-model plastic loading,eq19,f = k_p*alpha - (8/9)*f_ce,N,(production simplest form),Fig10 simplified model: drop elastic BC branch (plastic-dominant materials). Unload eq20 (k_e), pull-off eq21.
equation,eq25,load-dependent elastic stiffness,eq25,k_e = k_p + (r/R*)^2*(k_hat_e - k_p),N/m,coefficientMaxElasticStiffness k2(delta_max) interpolation,Same form as Luding eq1/eq8 interpolation. Prevents k_e<k_p at small deformation. NEEDED for high-velocity e decrease (Fig13->14).
result,v_s_validation,critical sticking velocity (validation particle),sec3,1.6,m/s,(matches Thornton-Ning ~1.6),Proposed linear model reproduces TN critical sticking velocity = linear-approx-nonlinear evidence.
result,v_s_Gamma,critical sticking velocity vs Gamma,Fig6,0.451;2.228;4.387;10.485,m/s,(Gamma 0.02/0.1/0.2/0.5),Gamma up -> v_s up (stronger adhesion sticks more). k_e=1500 k_p=210.
result,v_s_ke,critical sticking velocity vs k_e,Fig7,0.031;0.102;0.317;0.451,m/s,(k_e 300/500/1100/1500),k_e up -> v_s up. k_p=210 Gamma=0.02.
result,v_s_kp,critical sticking velocity vs k_p,Fig8,0.007;0.095;0.451;1.471,m/s,(k_p 100/210/500/1200),k_p up -> v_s up. k_e=1500 Gamma=0.02.
result,e_asymptote,restitution asymptote (constant k_e),Fig13-14,0.38,-,(constant k_e -> (k_p/k_e)^0.5 plateau; load-dep -> decreasing),Constant k_e gives unphysical high-v plateau ~0.38; load-dependent k_e (eq25) gives e decrease (TN-consistent).
result,stiffness_ratio_limit,plastic-work saturation,Fig16,k_e/k_p approx 20,-,(18x softening effectively raises plastic-work fraction),Above k_e/k_p~20 almost all input work is plastic. k_e/k_p=1 still plastic>elastic (rearrangement/friction).
result,solid_fraction_Gamma,initial solid fraction vs Gamma,Fig18,0.52 -> 0.48 (Gamma 0->5),-,(LOW-STRESS fill phenomenon - not our high-P compaction),Gamma up -> looser fill (chains). WARNING: low-stress fill, our high-P compaction unaffected (jamming-fixed porosity).
metadata,open_access,license,-,Creative Commons Attribution 2014 (c) The Author(s),-,freely citable,OPEN ACCESS. EPSRC EP/G013047. Acknowledges Stefan Luding (our Luding 2008 author) - same lineage.
layer_map,no_cap_fine_powder,contact-model layer position,-,no yield-pressure cap + fine-cohesive-powder adhesion,-,same layer as Luding 2008 (our model) + EEPA Thakur 2014,"NOT path A. Plasticity = stiffness ratio k_p/k_e (hysteresis), NOT pressure cap. Cap = Thornton-Ning(p_y)/So(H). Novelty vs EEPA = energy-consistent A_p*Gamma adhesion (vs empirical k_adh*delta^n)."
