section,quantity,case,compression_ratio,external_pressure_MPa,value,unit,precision,note
mech_result,max_vonMises_anode_case3,case3,0.7_anode,10,629,MPa,exact_text,Case3 increased anode CR -> anode stress ~629
mech_result,max_vonMises_cathode_case4,case4,0.7_cathode,10,697,MPa,exact_text,Case4 increased cathode CR -> cathode stress ~697 (best echem despite least favorable mech)
mech_result,stress_order_by_phase,,,,cathode>anode>SE,rank,exact_text,von Mises + Young's modulus highest at cathode; SE lowest. SE exhibits NO volume expansion.
mech_result,expansion_order_by_phase,,,,graphite>cathode>SE,rank,exact_text,volume expansion: graphite(anode) highest, then cathode; SE none
#
# ============ FEM results: effect of external pressure (Fig 7/8, Cases 1,6,7,8: CR all 0.7) ============
press_result,anode_pressure_internal,case6,0.7,0,468,MPa,exact_text,internal anode pressure with ZERO external pressure
press_result,anode_pressure_internal,case7,0.7,50,739,MPa,exact_text,internal anode pressure with 50 MPa external -> +external raises internal stress (more Li intercalation)
press_result,echem_perf_vs_pressure,case6,0.7,0,worst,qual,exact_text,zero external P -> significant cell-performance drop (poor SE ionic conduction, Li cannot penetrate interface)
press_result,echem_perf_vs_pressure,case1,0.7,10,good,qual,exact_text,0->10 MPa significantly enhances performance
press_result,echem_perf_vs_pressure,case7,0.7,50,marginal_gain,qual,exact_text,marginal improvement beyond 50 MPa (saturation-like)
press_result,echem_perf_vs_pressure,case8,0.7,100,marginal_gain,qual,exact_text,100 MPa little extra benefit over 50 MPa
#
# ============ Mechanism summary (qualitative chain) ============
mechanism,elevated_stress_chain,,,,stress_up->volfrac_AM_up+surface_area_up+tortuosity_down->sigma_e_up+sigma_ion_up,chain,exact_text,higher pressure -> more AM vol fraction + more contact surface area + lower tortuosity -> higher electronic AND ionic conductivity (Fig6a geometric)
mechanism,tradeoff,,,,higher_CR/P->better_echem_BUT_higher_stress->fracture_risk,chain,exact_text,balanced electrode design needed (core conclusion)
#
# ============ Key FEM transport equations (constitutive, for method reference) ============
fem_equation,sigma_AM_Maxwell,,,,kappa_AM = kappa_AM0 * 2(1-theta)/(2+theta),eq35,exact_text,Maxwell porosity model for SE electronic cond (theta=compact porosity 0..1)
fem_equation,kappa_s_eff_Bruggeman,,,,kappa_s_eff = kappa_s * eps_s^brug,eq10,exact_text,electronic cond vs AM vol fraction (Bruggeman)
fem_equation,sigma_SE_eff,,,,sigma_SE_eff = sigma_SE*eps_SE / tau_L/S_all,eq37,exact_text,effective ionic cond = intrinsic * vol-frac / path-resistance
fem_equation,tau_path_resistance,,,,tau_L/S_all = -11.7*eps_SE + 8.54,eq38,exact_text,empirical linear path-resistance vs SE vol fraction (Otani 2023 ref46)
fem_equation,surface_area,,,,S_a = 3*eps_AM / R_p,eq34,exact_text,specific surface area of active material
fem_equation,sigma_SE_vs_stack_pressure,,,,sigma_SE = sigma_SEmax - (sigma_SEmax - sigma_SE0)*exp(-k3*E_xsl),eq36,exact_text,semi-empirical sigma vs stack pressure (Doux 2020 ref45 extrapolation); sigma_SE0=0.002 sigma_max=0.0002 S/cm k3=70/GPa LGPS
#
# ============ FEM model transport/kinetic parameters (Table 2, selected) ============
fem_param,electrical_conductivity_graphite,,,,100,S/m,exact_text,
fem_param,electrical_conductivity_LGPS,,,,2.2e-7,S/m,exact_text,SE electronic (very low)
fem_param,electrical_conductivity_NMC,,,,10,S/m,exact_text,CAM electronic
fem_param,LLZO_electronic_cond_30C,,,,5.5e-8,S/cm,exact_text,oxide SE electronic (text)
fem_param,ionic_cond_initial_sigma_SE0,,,,0.002,S/cm,exact_text,LGPS sigma at low stack pressure (eq36 fit)
fem_param,ionic_cond_max_sigma_SEmax,,,,0.0002,S/cm,exact_text,LGPS asymptotic ionic cond (eq36 fit) [NOTE: paper lists sigma0=0.002 > sigmamax=0.0002, as printed]
fem_param,k3_pressure_constant,,,,70,1/GPa,exact_text,eq36 LGPS
fem_param,diffusion_coeff_SE,,,,2.61e-4,m2/s,exact_text,LGPS Li diffusion (Table2; units as printed)
fem_param,Li_transference_number,,,,0.363,-,exact_text,all phases
fem_param,layer_thickness_anode,,,,65,um,exact_text,graphite layer L
fem_param,layer_thickness_SE,,,,75,um,exact_text,electrolyte separator L
fem_param,layer_thickness_cathode,,,,70,um,exact_text,NMC layer L
fem_param,init_volfrac_AM_anode,,,,0.32,fraction,exact_text,graphite eps_AM0
fem_param,init_volfrac_AM_cathode,,,,0.18,fraction,exact_text,NMC eps_AM0
fem_param,init_volfrac_SE_anode,,,,0.24,fraction,exact_text,
fem_param,init_volfrac_SE_cathode,,,,0.38,fraction,exact_text,
fem_param,init_volfrac_void,,,,0.44,fraction,exact_text,both electrodes (initial porosity)
fem_param,particle_radius_anode_FEM,,,,10,um,exact_text,graphite Rp (FEM, differs from DEM 14)
fem_param,particle_radius_cathode_FEM,,,,5,um,exact_text,NMC Rp (FEM)
