# Bucci et al., Phys. Rev. Materials 2, 105407 (2018), DOI 10.1103/PhysRevMaterials.2.105407
# "Mechanical instability of electrode-electrolyte interfaces in solid-state batteries"
# MIT + Robert Bosch LLC. 1D radially-symmetric ANALYTICAL cohesive-zone delamination model + random-walk FPT for ASR.
# MATERIAL-AGNOSTIC: SE = E_se 20-200 GPa parameter sweep (any inorganic SE), CAM = generic intercalation compound (volume change 0-25% sweep).
#   -> NOT LPSCl/NMC811 specific; our LPSCl (E~22-24) maps to ONE point of the sweep, near the compliant threshold (25 GPa).
# NO porosity / sigma_ionic-e-thermal / Heckel / PSD / coordination (not a compaction paper) -> n/a; DO NOT compare to our compaction/transport absolutes.
# Quantitative anchors are CRITICAL CONDITIONS (design map), not single-material measurements.
# source: stated = text/equation (exact) ; digitized = read from contour/figure (TREND only, approximate). cohesive inputs (F_c, gamma, |u|_R) are sweep ranges, not LPSCl values.
#
# === A. DELAMINATION-ONSET volume/radius-change thresholds (the headline numbers) ===
ASR_FPT,FPT_sweep_delaminated_area,"0;12.5;25;50",percent,"random-walk sweep (Fig8a,b)",stated,"1000 walkers; 2160-triangle particle surface; reflective at delaminated patches"
ASR_FPT,cell_time_high_sigma_SE,"2tP->3tP",dimensionless,"d_particle=d_electrode/10, SE Li-mobility 10x -> tP=tS; delamination doubles tP",stated,"+150% of tP; high-conductivity SE (tP>>tS) -> delamination rate-limiting"
ASR_FPT,cell_time_low_sigma_SE,small,qualitative,"tS >> tP (SE rate-limiting)",stated,low-conductivity SE -> delamination impact minor
#
# === D. SE shell stress field during volume contraction (Fig6; E_se=50 GPa, phi_AM=0.55) ===
category,quantity,value,unit,condition,source,note
stress_field,sigma_RR_inner_nu015,4,GPa,"radial, tensile at inner radius, nu=0.15, full charge",digitized,decays toward outer radius; ~GPa >> compaction ~hundreds-MPa
stress_field,sigma_Mises_nu015,-4_to_-2,GPa,"von Mises (scalar negative-sign convention), nu=0.15",digitized,compressive; Fig6a
stress_field,hoop_sign_change,compressive_at_interface,qualitative,"nu=0.15: hoop compressive at interface, changes sign across thickness",digitized,Fig6a; nu=0.35 -> hoop becomes tensile (Fig6b)
#
# === E. Geometry factor f = R_B/R_A vs AM volume fraction (Fig1 right) ===
category,quantity,value,unit,condition,source,note
geometry,f_RB_over_RA_phiAM30,1.70,ratio,"phi_AM=30 vol%",digitized,f=(1/phi_AM)^(1/3) family; space-filling truncated-octahedron unit cell
geometry,f_RB_over_RA_phiAM50,1.45,ratio,"phi_AM=50 vol%",digitized,commercial cells typical phi_AM 50-60%
geometry,f_RB_over_RA_phiAM70,1.28,ratio,"phi_AM=70 vol%",digitized,higher AM loading -> thinner SE shell
#
# === F. n/a (NOT measured here; do not cross-compare to our compaction/transport absolutes) ===
category,quantity,value,unit,condition,source,note
n_a,porosity,n/a,,not a compaction paper,n/a,DO NOT compare to Minnmann 14% / Doux 18% / our 15.6%
n_a,sigma_ionic_electronic_thermal_absolute,n/a,mS/cm,"FPT ratio only (relative ASR)",n/a,no absolute conductivity solved
n_a,coverage_contact_area_pct,n/a,,interface = continuous cohesive surface (no per-particle area),n/a,DO NOT compare to our Stage-E Tabor 49.6/48.2%
n_a,Heckel_Py_coordination_PSD,n/a,,single representative particle + radius sweep,n/a,
n_a,LPSCl_NMC811_specific_properties,n/a,,material-agnostic E_se 20-200 sweep,n/a,LPSCl E~22 maps to ONE point only
