id	group	quantity	code_name	value_unit	file_line@171934433	used_by	production	provenance_as_written	label	flags	judgment	root_commit	related_ids
A14	SE-ion	(근거 서술) LPSCl bulk σ	se_material docstring	1.6 mS/cm @25 °C, 380 MPa	scripts/se_material.py:49	설명	-	"Minnmann 2021 (LPSCl bulk 1.6 mS/cm @ 25 °C, 380 MPa fabrication)"	LIT-V		minnmann2021 카드: LPSCl(NEI) 1.6 mS/cm @25 °C, 380 MPa.		
A15	SE-ion	(근거 서술) GB/bulk 온도의존	se_material docstring	R_i,gb 25.6→3.1 · R_i,bulk 9.3→6.0 Ω·cm²	scripts/se_material.py:64	설명	-	"kim2025 shows ... R_i,gb 25.6→3.1 vs R_i,bulk 9.3→6.0 Ω·cm², 30→60 °C"	LIT-V		kim2025 카드 Table S3 · 60 °C 행과 일치.		
A16	SE-ion	k_B	K_B_EV_PER_K	8.617333262e-5 eV/K	scripts/se_material.py:86	Arrhenius	Y	"(CODATA 2018)"	CONV	PHYS	물리상수 — 값 정확.		
A17	SE-ion	Cronau(r_SE) SE 크기 인자 — Stage E	sigma_ionic_grain_factor_SE()	r≥0.5→1.00 · ≥0.3→0.90 · ≥0.1→0.65 · 0.03–0.1 선형 · <0.03→0.33	scripts/run_network_full_corrections.py:110	Stage E σ_ion (sigma_full_mScm_stage_e) — 웹앱 생산	Y	헤더 "Cronau 2022 amorphization"; docstring "Reference table (literature consensus)" · "Cronau optimum + SPS size-invariant" · "SPS data (ScienceDirect 2023)" · "Going Against the Grain 2024"	LIT-U	LIT-M 의심	Cronau 2022 는 카드 없음 (실재: B&S e202200041, Li5.5PS4.5Cl1.5 밀링시간↔입경↔σ — 검색 요약). 정본 cronau2021 카드는 "r_SE breakpoint(0.5/0.3/0.1/0.03 µm)·plateau(1.0/0.90/0.65/0.33)는 측정·도출된 적 없다" 고 판정. "ScienceDirect 2023" 은 서지가 아니다. "Going against the Grain"(ACS Mater. Au 2024)은 실재하나 모델링 관점 논문 — 이 숫자 없음.	ceee1d812 2026-04-30 (값 f2f214d54 2026-04-30)	
A18	SE-ion	Cronau(r_SE) — T1 생산 폼	_cronau_factor()	A17 과 같은 계단표	scripts/generate_comparison_plots.py:4342	σ_ionic T1 스케일링법칙 (_sat_baselog)	Y	"Stage-E σ_ionic SE-size factor (Cronau 2022; ...)" · 폼 주석 "literature factor, no DoF, deterministic"	LIT-U	DRIFT(문서 3-시그모이드 ↔ 코드 계단)	A17 과 동일. + CLAUDE.md "THE FINAL EQUATION" 과 group.html:1299 는 3-시그모이드(0.5 µm 에서 0.95)라 적지만 생산 코드는 계단(0.5 µm 에서 1.00) — 3-시그모이드는 오프라인 nested_cv_sat.py 에만 있다.	63adb1727 2026-05-28	
A19	SE-ion	Cronau(r_SE) 설명 (웹앱)	single.html Stage-E SE size factor desc	(A17 표)	webapp/templates/single.html:2404	웹앱 단일 케이스	Y(UI)	"LPSCl (Cronau 2022) 의 *grain-size-dependent ionic conductivity* 측정값 기반."	LIT-U	MEAS-NO-DATA	"측정값 기반" 이라 단정하나 breakpoint 는 어떤 측정에서도 확인 안 됨 (A17). 리포에 대응 데이터 파일 없음.	2900b6b0a 2026-05-06	
A20	SE-mech	E_SE real (Tabor 력 복원)	E_REAL_SE	24 GPa	scripts/plastic_coverage.py:34	Physics 모드 접촉면적 A_tabor=F_real/H (Stage-E Physics σ·κ, coverage_physics) · DR 문턱	Y	:34 "LPSCl Young's modulus (LAB VALUE: 24 GPa)" / :336 "E_real: Young's modulus of LPSCl (24 GPa experimental consensus)"	FALSE		24 GPa 는 Sakuda 2013 의 75Li2S·25P2S5 유리 (초음파) 값 — LPSCl 이 아니고 "lab value" 도 아니다. LPSCl 정본 카드 값: DFT 22.1 (Deng 2016) · 27.4 (Torii 2025) · 나노압입 28.0 (Ning 2023, song2025 카드 경유) · 다공 펠릿 4.7. 수치는 밴드 안이나 두 서술("LPSCl", "LAB/experimental")이 거짓.	660600a44 2026-04-24 (import — 그 이전 이력 없음)	SELF-51, CL-90
A21	SE-mech	ν_SE (Tabor E*)	POISSON_SE	0.30	scripts/plastic_coverage.py:36	Physics 면적 E*	Y	(주석 없음)	NONE		LPSCl 정본 값 ν = 0.37 (deng2016 · torii2025 · bazzoun2026 카드). DEM 덱 0.30 은 CLAUDE.md 가 "DEM 접촉 입력" 으로 분리 선언했으나 이 파일은 "물성" 블록에 둔다.	660600a44 2026-04-24	
A22	SE-mech	H_SE (Tabor 경도)	H_REAL_SE	0.85 GPa	scripts/plastic_coverage.py:39	A_tabor = F_real/H (생산 Physics 면적)	Y	:39 "LPSCl hardness (Tabor H ≈ 2.8 σ_y)" / :337 "H: Tabor hardness (0.85 GPa, sulfide glass range 0.5-1.0 per Sakuda)" / :335 "Constants from DB entries (Sakuda 2013 #11, Koerver 2018 Table 1 #12)"	LIT-M	DRIFT(출처 6종)	sakuda2013 카드: 경도 측정 없음 (감사 2026-09-09 audit1 [15] 도 같은 판정, 미정정). Koerver 2018 은 카드 없음. 같은 0.85 의 출처가 리포에서 6갈래: 코드 Sakuda/Koerver · single.html "Koerver 2018" · Reviewer_Defence_Notes/Tabor_framework_reference "Cheng 2017" · literature_coverage/README "Sakuda 2013" · paper_brittle_caveat "Brake 2012" · contact_mechanics_db "σ_y 0.30 (Sakuda indentation)" (σ_y 는 다시 H/2.8 로 정의 = 순환). 정본에 있는 황화물 경도는 LPS 유리 1.9 GPa (McGrogan, so2021/so2022 카드 경유) 뿐.	660600a44 2026-04-24	L1-03
A23	SE-mech	σ_y,SE (DR 문턱용)	SIGMA_Y_SE	0.30 GPa	scripts/plastic_coverage.py:38	DR_YIELD_ONSET/DR_FULLY_PLASTIC 문턱	Y	"LPSCl yield stress (H/2.8, H≈0.85 GPa)"	CONV	유도값(A22 상속)	H 에서 Tabor 2.8 로 유도한 값 — 독립 출처가 아니다. MPM 의 σ_y 0.30 (C03, 다른 뜻: 연속체 J2 보정값) 과 우연 일치.	660600a44 2026-04-24	
A24	SE-mech	최소 소성막 두께	H_FILM_MIN	5 nm	scripts/plastic_coverage.py:50	A_volume = V/h_min (생산 Physics 면적 cap)	Y	"Sulfide glass plastic flow: film thickness ~few nm (Sakuda 2013 discussion). Anchored 5 nm as physical minimum"	LIT-M		Sakuda 카드에 5 nm·막두께 없음 (L1-08 판정과 동일). "Anchored" 표현이 근거 없는 확정.	660600a44 2026-04-24	L1-08, DESC-03, DESC-10
A25	SE-mech	Tabor 툴팁 묶음 (웹앱)	single.html σ_ionic[physics] formula	E_real 24 GPa · H 0.85 GPa · h_film 5 nm	webapp/templates/single.html:1944	웹앱 단일 케이스	Y(UI)	"(real Hertzian force using E_real=24 GPa) H = 0.85 GPa (LPSCl Tabor hardness, Koerver 2018) h_film = 5 nm (Sakuda 2013 sulfide flow) Zero free parameters."	LIT-M	DRIFT(A22 와 다른 출처)	H 의 출처가 코드(Sakuda)와 다르다(Koerver). h_film 은 A24 와 같은 오귀속. "Zero free parameters / Literature-anchored" 는 세 입력이 전부 비앵커라 과장.	660600a44 2026-04-24	
A26	SE-mech	문헌 참조표 H_SE	build_literature_reference.py H_SE_GPa	0.7–1.0 GPa (project 0.85)	scripts/build_literature_reference.py:107	literature CSV (표시)	Y(표시)	source 'Sakuda 2013', note 'Li6PS5Cl hardness, project default 0.85'	LIT-M		Sakuda 는 경도도 Li6PS5Cl 도 다루지 않는다.	0a040f2b0 2026-04-29	
A27	SE-mech	E_SE 배지 가시 라벨 (웹앱)	single.html e_se_eff badge	"(bulk LPSCl: 24 GPa)"	webapp/templates/single.html:25	웹앱 헤더 배지	Y(UI)	가시 텍스트 "(bulk LPSCl: 24 GPa)"; 같은 요소 툴팁 "순수 SE를 300 MPa로 압축했을 때 실험 porosity 10% endpoint를 맞추도록 calibrate"	FALSE		SELF-51 정정이 툴팁에만 들어가 가시 라벨은 여전히 "bulk LPSCl 24 GPa" — 같은 span 안에서 자기모순. "실험 porosity 10% endpoint" 도 거짓: minnmann2021/2022 카드 — 순수 SE porosity 는 측정된 적 없고 10 % 는 우리 보정 표적.	b835c83a4 2026-05-19	SELF-51
B01	DEM	E_SE_eff (연화)	youngsModulus type3	1.35 GPa (sim 0.135e7 Pa, ×0.001 scale)	docs/data/phase_a_6mah/in.real_4.liggghts:39	생산 DEM 덱 (real_4 Phase A 등)	Y	"SE: E=1.35 GPa → Sim 0.135e7 Pa (소성변형 보정)"	CAL		보정 기록 docs/esse_calibration_2mAh_real_9.md (+CLAUDE.md E_SE calibration).		
B02	DEM	E_AM	youngsModulus type1/2	140 GPa (sim 1.4e8)	docs/data/phase_a_6mah/in.real_4.liggghts:37	생산 DEM 덱	Y	"AM: E=140 GPa → Sim 1.4e8 Pa, ν=0.25"	NONE		덱에는 출처 없음. 리포 전역에서 이 140 의 옛 출처는 지어진 "Wang 2020" (CL-90)이었고 지금은 "project convention". 정본 후보: Sedlatschek 2026 138±24 (SELF-51, PDF 미확인).	(덱 파일 커밋 d43b8cc0b 2026-09-07 — 사용자 덱 사본)	CL-90, SELF-51
B03	DEM	ν AM / SE	poissonsRatio	0.25 / 0.30	docs/data/phase_a_6mah/in.real_4.liggghts:40	생산 DEM 덱	Y	(덱 주석 "ν=0.25", "ν=0.30" 만)	NONE		CLAUDE.md 가 ν_SE 0.30 을 "DEM 접촉모델 입력(2차 인자)" 으로 해명(CONV 성격)하나 덱 자체엔 근거 없음.		
B04	DEM	반발·마찰·구름마찰	coefficientRestitution / Friction / RollingFriction	e 0.3 · μ 0.5 · μ_r 0.2(AM)/0.1(SE)	docs/data/phase_a_6mah/in.real_4.liggghts:42	생산 DEM 덱	Y	(주석 없음)	NONE		문헌·보정 기록 없음 (bazzoun2025 파라미터 민감도 카드가 있으나 덱이 인용하지 않음).		
B05	DEM	hysteresis 모델 계수	coefficientMaxElasticStiffness / AdhesionStiffness / PlasticityDepth / characteristicVelocity	1.5/3.0/5.0 · 1e5/2e5/1e6 · 0.05/0.01/0.005 · 2.0	docs/data/phase_a_6mah/in.real_4.liggghts:57	생산 DEM 덱 (hooke/hysteresis 접촉)	Y	(주석 없음)	NONE		접촉 이력 모델의 핵심 계수인데 덱·리포 어디에도 근거 문서가 없다.		
B06	DEM	입자 밀도	density constant	AM 4800 · SE 2000 kg/m³	docs/data/phase_a_6mah/in.real_4.liggghts:91	생산 DEM 덱 · wt↔vol 환산 전역	Y	additives.py DENS: "SE=2.00 = PROJECT CONVENTION ... real Li6PS5Cl crystallographic ≈ 1.85–1.88"	CONV	DRIFT(dem3d_plastic 1.6)	정직한 규약. 단 scripts/dem3d_plastic.py:178 은 SE 1.6 (연구용), Bazzoun 은 1.64 사용.		
C01	MPM	E_SE (연화)	--e-se	1.53 GPa	scripts/mpm3d_compaction.py:606	생산 MPM (Phase A 킷 명시)	Y	"SE modulus (GPa); champion 1.53 (softened)"	CAL		docs/mpm3d_calibration.md (2D champion·SEM·pure-SE).		
C02	MPM	ν_SE	--nu-se	0.49	scripts/mpm3d_compaction.py:610	생산 MPM	Y	"default 0.49 = 3D calib: K~25.5 GPa, the real LPSC bulk"	CAL		보정 기록 있음. K 25.5 ↔ DFT B₀ 26.23 (CLAUDE.md) — "real LPSC bulk" 는 체적탄성률 뜻으로만 성립.	02b669e1b 2026-06-15	
C03	MPM	σ_y,SE (J2) 보정 표적	--sigma-y	0.30 GPa	scripts/mpm3d_compaction.py:608	생산 MPM (기본값 사용)	Y	"SE von Mises yield (GPa); 3D calib 0.30 -> pure-SE ~0.10 porosity @ 0.30 GPa (Minnmann)"	LIT-M	CAL(표적 오귀속)	보정 자체는 기록됨(docs/mpm3d_calibration.md). 그러나 표적 "순수 SE 10 % @300 MPa" 의 출처 Minnmann 이 틀렸다: minnmann2021 카드 "이 논문은 pure-SE porosity 를 별도 측정하지 않는다 — 14 % 는 복합 양극", minnmann2022 카드 "pure-SE ~10 % 는 우리 보정 표적 … 확인한 적이 없다". ⇒ MPM 기계 보정의 유일한 절대 앵커가 실험값이 아니다.	02b669e1b 2026-06-15	GAP2-05
C04	MPM	E_AM	--e-am	140 GPa	scripts/mpm3d_compaction.py:607	MPM (AM 고정 scaffold 라 CFL/ADD 만 영향)	Y(약)	"AM modulus (GPa)"	NONE		B02 와 같은 값, 출처 없음.	76b0a6b3c 2026-06-15	CL-90
C05	MPM	가압 목표	--target-gpa	0.30 GPa	scripts/mpm3d_compaction.py:613	생산 MPM	Y	"servo platen target σzz"	CONV		공정 설정값 (300 MPa).		
C06	MPM	SE 점착 (기본 0)	--coh	0.0 GPa (help: "LPSC ~0.01-0.05")	scripts/mpm3d_compaction.py:592	기본 OFF	N	"Real physics (not a target fudge); LPSC ~0.01-0.05 GPa"	NONE		제시 범위의 출처 없음 (기본 0 이라 생산 무영향).		
C07	MPM	PTFE 바인더 점착 최대값	--coh-ptfe	0.10 GPa	scripts/mpm3d_compaction.py:596	Phase A 킷 5종 명시 (--coh-ptfe 0.10)	Y	"PEAK PTFE binder cohesion (GPa) ... The PTFE fibril web binds + densifies (Hong 2026 void -6.4%p)"	NONE		Hong 2026 카드는 PTFE 1 wt% 에서 pore 28.7→22.3 vol% (단일 조건) — 방향 근거일 뿐, 0.10 GPa 크기의 출처는 어디에도 없다.	947f4f24a 2026-06-30	
C08	MPM	PTFE 최적 wt%	--binder-opt-wt	1.5 wt%	scripts/mpm3d_compaction.py:602	Phase A 킷 명시	Y	"PTFE wt%% at which the binder benefit peaks (Hong ~1 wt%% optimal + a small over-margin)"	LIT-M		hong2026 카드: PTFE 는 1 wt% 한 조성만 썼고 최적 스캔 없음 ("PTFE void-억제 = 정성·단일조건 … 75 wt% NCM·350 MPa 단일 조건"). "1 wt% optimal" 은 논문이 말하지 않는 것.	947f4f24a 2026-06-30	
C09	MPM	SDCP 점착	--coh-sdcp	0.10 GPa	scripts/mpm3d_compaction.py:798	SDCP 침대	Y(SDCP)	"SDCP binder cohesion (GPa, Cauchy) ... BULK film integrity"	NONE		크기 출처 없음.		
C10	MPM	첨가제 E·ν	ADD_E_NU	VGCF 10 · SuperP 0.5 · PTFE 1.8 · SDCP 9.0 · SWCNT 0.5 GPa (ν 0.30, SDCP 0.35)	scripts/mpm3d_compaction.py:149	Phase A 침대 압밀 기하	Y	"출처: 사용자 지정 2026-08-18. **근거 문헌/측정 미기재** — 인용 전에 채울 것."	CONV		정직한 표기(사용자 지정·미앵커). VGCF 10 GPa 는 실섬유 축방향 강성(수백 GPa)과 무관한 프록시임도 암시적.	7af14d681 2026-08-18	
C11	MPM	첨가제 σ_y	ADD[...] σ_y	VGCF 2.00 · SuperP 0.10 · PTFE 0.05 · SDCP 1.00 · SWCNT 0.10 GPa	scripts/mpm3d_compaction.py:2357	Phase A 침대	Y	SDCP "σ_y=1.0 UN-anchored rigid-proxy §F1" · SWCNT "SOFT PROXY §F1" · VGCF/SuperP/PTFE 무주석	NONE		SDCP/SWCNT 는 정직 표기(CONV 급), VGCF/SuperP/PTFE 는 근거 표기 자체가 없다.		
C12	MPM	VGCF 파형(곡률) 압력함수	_press_curl(curl_sat, p_char)	0.095 · 0.30 GPa	scripts/mpm3d_compaction.py:74	VGCF 씨딩 형상 (--vgcf-curl 자동)	Y(형상)	"calibrated curl(0.30 GPa)=0.060"	NONE		"calibrated" 라 하나 보정 기록이 없다 — docs/additive_test_campaign.md 는 "직선이 뷰어에서 artifact 처럼 보여서" 고른 형상 프록시로 적는다.	a2ff03cb6 2026-06-30	
C13	MPM	섬유 기하 VGCF	VGCF_D, VGCF_L	Ø0.15 µm · L 10 µm	scripts/additives.py:36	첨가제 씨딩 (Phase A)	Y	"(Showa Denko VGCF-H; aspect ~67)"	LIT-U		제조사 사양 인용, 정본 카드·사양서 사본 없음 (R20-04 가 사양서 PDF 미확보를 기록).	bd4441018 2026-06-24	R20-04
C14	MPM	섬유 기하 PTFE	PTFE_D, PTFE_L	Ø0.25 µm · L 40 µm	scripts/additives.py:38	첨가제 씨딩 (Phase A)	Y	"spanning tens of NMC ... (RSC D5EE03240G; Front. Energy 2023.1336344)"	LIT-U	DRIFT(원장 앵커와 다른 인용)	Ø: 원장 CL-66 은 Lee 2025 (rope Ø0.248)로 앵커했는데 코드는 다른 두 출처(카드 없음)를 적는다. L 40 µm: CL-66 "두 출처 어디에도 없다", CL-67 실측 끝점거리 4.13 µm ≈ NCM 0.8개 — 주석 "spanning tens of NMC" 는 산출물과 불일치.	7a3664e96 2026-06-24	CL-66, CL-67
C15	MPM	첨가제 밀도	additives.DENS	VGCF 2.00 · SuperP 1.90 · PTFE 2.20 · SDCP 1.30 · SWCNT 1.35	scripts/additives.py:25	wt→vol 환산	Y	"SDCP 1.3 = ⚠PROXY from generic PEDOT web-lit — REPLACE"	CONV		정직한 프록시 표기.		
C16	MPM	SDCP 입경	SDCP_D	0.30 µm	scripts/additives.py:42	SDCP 씨딩	Y(SDCP)	"manuscript Figure 2f + S5 ... SI Table S2 가 0.30 µm · Measured"	CAL	OWN-DATA	자체 원고 측정 (라벨 체계상 CAL 로 분류).		
C17	MPM	사이클 격자 ΔV (SC)	--cycle-dv-sc	−0.051	scripts/mpm3d_compaction.py:856	A-1 사이클 재변형 (opt-in)	N	"Default −0.051 = Kondrakov NMC811 c-axis collapse; sweep to −0.059 (Yun/Kang)"	LIT-U		Kondrakov 카드 없음.	f718381cd 2026-07-22	
C18	MPM	사이클 poly 외피 ΔV	--cycle-dv-poly / --dv-pct-poly	+0.059 / 0.30	scripts/mpm3d_compaction.py:862	A-1 (opt-in)	N	"Parks/Yun" / "A9 intergranular crack absorbs ~70%% internally as void; Kang&Shin size-weighting"	LIT-U		Parks 카드 없음; 0.30 은 스윕축 가정.		
D01	AM-e	σ_AM 전자 (접촉망 σ_e 절대 스케일)	SIGMA_AM_ELECTRONIC	0.05 S/cm (50 mS/cm)	scripts/network_conductivity.py:57	접촉망 전자 σ = σ_rel × 50 mS/cm → 코퍼스 σ_e 타깃 → Stage 22.5 폼	Y	"# S/cm (50 mS/cm, NCM811 grain interior, discharged)"	NONE		출처 표기 없음. 정본 wang2018 카드(리포 유일의 NMC811 단상 펠릿 σ_e): 4.1e-3 S/cm @20 °C (합성 그대로 ≈ 방전 상태), −20…100 °C 전 구간 0.76–32 mS/cm ⇒ 50 은 상온값의 12× 이고 측정 구간 밖. "grain interior, discharged" 라는 구체 서술이 근거 없이 붙어 있다.	660600a44 2026-04-24 (import)	SELF-39
D02	AM-e	σ_AM 참조/캡 기준	_SIGMA_AM_E (+_SIGMA_E_MAX=100)	50 mS/cm (캡 100)	scripts/generate_comparison_plots.py:5798	σ_e 폼 UI 기본·병리값 캡	Y	"NCM811 reference σ_AM (literature-range bulk; UI default / cap basis)"	NONE		"literature-range" 주장에 인용 없음; D01 과 같은 값. 캡 100 = 2×50 은 병리 필터라 영향 제한적.	35170117d 2026-05-29	
D03	AM-e	예측기 σ_AM	predictor_engine.SIGMA_AM	50	webapp/predictor_engine.py:45	/predictor 스크리닝 식	Y(UI)	"⚠⚠ 문헌 물성값이 아니다 ... 스크리닝 체크포인트의 전역 앵커"	CONV		정직한 라벨 (09-09 정정).		
D04	AM-e	σ_S / σ_P 엔드포인트	_SIGMA_S_LOCKED / _SIGMA_P_LOCKED	10 / 5 mS/cm	scripts/generate_comparison_plots.py:5824	Stage 22.5 σ_e 폼	Y	"corpus-fit ~9.1, rounded" / "~4.1, rounded"	CAL		docs/a1_sigma_e_direction_closeout.md (Trevisanello 귀속 철회 후 정직 라벨).		
D05	AM-e	NCM(r) GB 인자	NCM_AM_REF_R / NCM_AM_GB_EXPONENT	r0 2.0 µm · β 1.5	scripts/network_conductivity.py:90	접촉망 AM_P σ	Y	"corpus-fit; Trevisanello-spirit direction"	CAL		정직한 라벨 (A1 audit ⚠#11).		
D06	AM-e	STEP3 AM 상 σ	SIGMA_DEFAULT AM_S/AM_P	0.010 / 0.005 S/cm	scripts/step3_sigma.py:93	STEP3 전자망	Y	"corpus-fit endpoints, NOT a Trevisanello measurement ... scale transplant ... unknown multiplier"	CAL		정직 (이식 배수 미지 명시).		SELF-13
D07	AM-e	Stage E 파괴 σ 인자	FRACTURE_STAGES	F/P_c <1:1.00 · 1–3:0.85 · 3–11:0.40 · 11–32:0.10 · ≥32:0.02	scripts/run_network_full_corrections.py:93	Stage E σ_e (electronic_sigma_full_mScm_stage_e) — 웹앱 생산	Y	헤더 "Stagewise fracture σ_factor (Stage D, Lawn 1998 + Trevisanello 2021) ... → 1.00 / 0.85 / 0.40 / 0.10 / 0.02 (literature-realistic central estimate for σ_e_loss)"	LIT-M		trevisanello2021 카드: σ 손실 측정 없음 (확산·BET·R_ct 뿐, audit #11 "MIS-ATTRIBUTION"). Lawn 1998 은 교재(카드 없음) — 전도도 손실 계수를 줄 수 있는 문헌이 아니다. 인자 5개는 근거 없는 설정값인데 "literature-realistic" 로 표기. CLAUDE.md 기록상 8mAh_real_12/13 의 σ_e 를 10.5→5.5 · 11.2→3.5 로 깎은 항.	ceee1d812 2026-04-30	
